asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category,isBestSeller,boughtInLastMonth
B0C7GKVW62,"YQ77 Wireless Kids Headphones, Cute Cat Ear LED Light Up Foldable Over-Ear Bluetooth Headphones with Microphone for iPad/Smartphones/PC/Kindle/Tablet/Laptop, Best Gifts for Kids Teens Adults (Pink)",https://m.media-amazon.com/images/I/51S4rw3zcIL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C7GKVW62,3.9,8,16.99,0,Headphones & Earbuds,FALSE,0
B0B8X8DFZQ,Wireless Headphones for Side Sleepers Noise Cancelling Eye Mask Sports Adjustable Headband Headset with HD Stereo Speakers for Sleeping Workout Jogging Yoga Insomnia Air Travel Meditation,https://m.media-amazon.com/images/I/61YKgtB2FaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B8X8DFZQ,4.2,15,9.99,19.99,Headphones & Earbuds,FALSE,0
B09YY82SZB,Link Dream Kids Bluetooth Headphones with Microphone for School On-Ear Headphone Toddler Children Wireless Headphone Headset with LED Lights Compatible with Cellphone/Computer/Tablet/iPad (Pink),https://m.media-amazon.com/images/I/61YkSOv12xL._AC_UL320_.jpg,https://www.amazon.com/dp/B09YY82SZB,4.8,103,23.99,0,Headphones & Earbuds,FALSE,0
B0C2BCCHV9,"AUOUA Life On Music Bluetooth Headphones Over Ear, Stereo Bass Wireless Headset with Mic, Bluetooth 5.2 Headphone for iPad/Travel/Gym/Tablet/Cell Phone/PC (Silver +Black)",https://m.media-amazon.com/images/I/71PkWQcnfgL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2BCCHV9,3.8,120,14.49,15.29,Headphones & Earbuds,FALSE,0
B0BN67JZ3K,Open-Ear True Wireless Stereo Headphones Over Ear Air Conduction Loud And Clear Headset Wireless Hands-Free Pain Free Headphones For Cycling Driving Hiking Students Ears Pain-Free Earphone (Black),https://m.media-amazon.com/images/I/519P5rb+QGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BN67JZ3K,3.2,5,9.9,0,Headphones & Earbuds,FALSE,0
B0BL73CF6M,"Soundcore by Anker Life Note 3S True Wireless Earbuds, Powerful Sound, 4 Mics for Clear Calls, Superior Comfort, Wireless Charging, 35H Playtime with Fast Charging, Soundcore App (Renewed)",https://m.media-amazon.com/images/I/51RCWaNJ2mL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BL73CF6M,3.7,33,29.99,45.48,Headphones & Earbuds,FALSE,0
B0BZC9H74L,Houstic Open Ear Headphones Clip On Wirelss Earbuds Bone Conduction Sport Earbuds Bluetooth 5.3 Built-in Microphone LED Power Display for Workout Cycling Running Gym Black,https://m.media-amazon.com/images/I/61cUfNod3FL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZC9H74L,3.6,43,15.99,32.99,Headphones & Earbuds,FALSE,0
B0BCXF1HVB,"Cubitt True Wireless Earbuds Generation 2, 5.3 Bluetooth, IPX5 Water reistance, Premium Sound, Touch Control, Built in Microphone, Voice Assistance, Game Mode for Men and Women (Black)",https://m.media-amazon.com/images/I/51Lou7A8h+L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BCXF1HVB,4.6,17,34.95,0,Headphones & Earbuds,FALSE,0
B08FWQK82C,harman/kardon Fly True Wireless IE Headphones Black (Renewed),https://m.media-amazon.com/images/I/61IaYK77w9L._AC_UL320_.jpg,https://www.amazon.com/dp/B08FWQK82C,3.5,8,55.99,74.7,Headphones & Earbuds,FALSE,0
B0B9RY7R8N,Bluetooth Earpiece Trucker Bluetooth Headset with Microphone Phone Earpiece Wireless Bluetooth for Cell Phones ENC Single Ear Waterproof Bluetooth Headset Hands Free for Office Business Driving Black,https://m.media-amazon.com/images/I/51mbwksVD4L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B9RY7R8N,4.4,5,29.99,0,Headphones & Earbuds,FALSE,0
B0CG5Z35WS,"Sleep Headphones 2023 Version Bluetooth Headband Headphones for Sleeping with Ultra-Thin HD Speaker&Mic, Best Gift for Side Sleepers/Yoga/Travel/Running and Insomniac - Unisex",https://m.media-amazon.com/images/I/81yFSbdTGpL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CG5Z35WS,4.3,16,19.88,0,Headphones & Earbuds,FALSE,0
